intent,utterance
explain_concept,Ano ba ang scam?
explain_concept,Ano po ang ibig sabihin ng scam?
explain_concept,"Hindi ko maintindihan ang scam, pwede mo bang ipaliwanag?"
explain_concept,Paano ba nangyayari ang scam?
explain_concept,"Yung panloloko sa internet, ano ba iyon?"
explain_concept,Bakit maraming tao ang nadadaya sa scam?
explain_concept,Ano ang layunin ng mga scammer?
explain_concept,Ano ang digital safety?
explain_concept,Bakit mahalaga ang digital safety?
explain_concept,Ano ang online safety at paano ito nakakatulong?
explain_concept,Ano ang kaligtasan sa internet?
explain_concept,Ano-ano ang kasama sa digital safety?
explain_concept,Ano ang pagkakaiba ng digital safety at online safety?
explain_concept,Paano nakakaapekto ang digital safety sa araw-araw na buhay?
explain_concept,Ano ang mga benepisyo ng pag-alam sa digital safety?
explain_concept,Sino ang nangangailangan ng digital safety?
explain_concept,Ano-ano ba ang mga uri ng scam?
explain_concept,Marami bang klase ng panloloko sa internet?
explain_concept,Anong mga scam ang madalas mangyari ngayon?
explain_concept,Ano-ano ang mga paraan ng panloloko online?
explain_concept,Ano ang pinaka-karaniwang scam na dapat kong malaman?
explain_concept,Sino ang karaniwang tinutugmain ng mga scammer?
explain_concept,Ano ang mga karaniwang panloloko sa social media?
explain_concept,Mayroon ka bang halimbawa ng scam?
explain_concept,Anong mga scam ang madalas na target ang mga senior citizen?
explain_concept,Anong panloloko ang madalas na nangyayari sa mga matatanda?
explain_concept,Bakit ang mga nakatatanda ang madalas na target ng scam?
explain_concept,Ano ang mga karaniwang scam na nakakaapekto sa mga senior?
explain_concept,Paano nila dinadaya ang mga matatanda sa internet?
explain_concept,Anong mga scam ang delikado para sa aming mga senior?
explain_concept,Bakit madaling maging biktima ang mga matatanda ng online scam?
explain_concept,Ano ang mga modus na ginagamit laban sa mga senior citizen?
explain_concept,Anong mga scam ang pinaka-delikado para sa mga nakatatanda?
explain_concept,Paano gumagamit ang mga scammer ng internet para lokohin ang mga matatanda?
explain_concept,Ano ang mga krimen na nagaganap sa internet?
explain_concept,Ano ang mga karaniwang cybercrime ngayon?
explain_concept,Anong mga illegal na gawain ang nagaganap sa internet?
explain_concept,Ano po ba ang cybercrime sa madaling salita?
explain_concept,Ano ang ibig sabihin ng cybercrime?
explain_concept,Ano ang pagkakaiba ng scam at cybercrime?
explain_concept,Lahat ba ng scam ay cybercrime?
